,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
312,1,0,3.9,70,1,40,1277,400.0,8783
313,1,0,3.9,91,32,19,688,300.0,8783
314,1,0,3.6,45,32,78,388,200.0,8783
315,1,0,3.4,7,1,78,1834,250.0,8783
316,1,0,3.8,28,1,78,1215,150.0,8783
317,1,0,3.6,24,1,27,1834,600.0,8783
318,1,0,3.8,36,4,40,1186,200.0,8783
319,1,0,3.5,11,32,78,1215,200.0,8783
320,1,0,3.8,77,49,19,644,650.0,8783
321,1,0,3.2,8,1,88,1699,100.0,8783
322,1,0,3.7,14,32,78,2381,100.0,511
323,1,0,3.8,210,49,27,1888,600.0,8783
324,1,0,4.1,130,32,19,731,650.0,8783
325,1,0,4.1,30,32,14,382,100.0,8783
326,1,0,3.8,144,1,19,817,700.0,8783
327,1,0,3.4,11,4,8,2130,800.0,8783
328,1,0,3.7,133,32,27,954,700.0,8783
329,1,0,4.0,136,32,78,2436,350.0,2925
330,1,0,3.1,4,4,78,2474,200.0,8783
331,1,0,3.5,11,4,90,1698,200.0,8783
332,1,0,3.8,74,4,78,2474,300.0,8783
333,1,0,3.7,30,4,78,2497,300.0,8783
334,1,0,3.0,7,4,78,2401,200.0,8783
335,1,0,3.8,75,1,26,771,200.0,183
336,1,0,3.7,54,4,19,588,600.0,8783
337,1,0,3.6,23,4,59,339,100.0,8783
338,1,0,3.2,119,1,27,1834,400.0,8783
339,1,0,3.7,73,1,78,429,400.0,8783
340,1,0,3.4,58,4,19,685,400.0,8783
341,1,0,3.6,129,1,27,1656,600.0,8783
342,1,0,3.6,24,1,78,419,250.0,8783
343,1,0,3.0,175,49,78,880,400.0,8783
344,1,0,3.7,21,57,78,2381,300.0,8783
345,1,0,3.5,41,80,58,2254,400.0,8783
346,1,0,3.6,35,32,78,2359,300.0,8783
347,1,0,4.1,176,4,27,95,800.0,8783
348,1,0,3.5,45,1,14,356,300.0,8783
349,1,0,3.7,47,32,82,1275,400.0,8783
350,1,1,3.7,36,32,27,910,650.0,8783
351,1,0,3.8,52,49,17,343,400.0,6937
352,1,0,2.7,123,1,78,1215,200.0,8783
353,1,0,3.6,59,49,27,1761,700.0,8783
354,1,0,3.2,4,49,78,2392,300.0,8783
355,1,0,3.8,101,1,78,429,400.0,8783
356,1,0,3.7,54,1,16,1164,400.0,8783
357,1,0,3.700448817952717,0,1,78,2381,200.0,8783
358,1,0,3.6,22,4,78,1215,200.0,8783
359,1,0,3.1,31,1,91,2294,250.0,8783
360,1,0,3.0,29,49,19,688,500.0,8783
361,1,0,3.4,6,32,14,330,100.0,8783
362,1,0,3.0,22,4,78,2474,250.0,7875
363,1,0,2.9,11,1,78,1761,500.0,8783
364,1,0,3.9,101,4,78,2381,150.0,8783
365,1,1,4.1,442,32,76,1058,1200.0,8783
366,1,0,3.5,155,4,78,429,400.0,8783
367,1,0,3.4,12,1,17,350,150.0,8783
368,1,0,3.6,15,4,78,2381,100.0,8783
369,1,0,3.5,10,4,78,2381,200.0,8783
370,1,0,3.8,25,1,78,2381,300.0,8783
371,1,0,3.8,61,1,78,1834,300.0,8783
372,1,0,3.7,23,84,78,946,300.0,8783
373,1,0,3.8,25,4,78,2328,350.0,8783
374,1,0,3.7,40,49,78,2482,200.0,4055
375,1,0,3.3,4,4,78,2281,100.0,8783
376,1,0,3.4,8,4,78,1338,150.0,8783
377,1,0,3.5,32,49,78,1834,300.0,8783
378,1,0,3.3,10,4,78,2381,200.0,210
379,1,0,3.4,6,4,78,1321,300.0,8783
380,1,0,3.8,53,32,78,1446,250.0,8783
381,1,0,3.7,67,49,27,1761,700.0,8783
382,1,0,2.9,23,32,88,1686,250.0,3403
383,1,0,3.4,19,1,78,2469,200.0,8783
384,1,0,3.6,24,1,78,1176,300.0,8783
385,1,0,4.0,232,32,78,2410,400.0,8783
386,1,0,3.9,221,32,27,792,700.0,8783
387,1,1,4.1,1063,32,28,1493,1200.0,8783
388,1,0,3.7,93,4,78,2537,200.0,8783
389,1,0,3.9,233,32,27,1515,800.0,8783
390,1,0,3.9,211,32,27,1268,500.0,8783
391,1,0,4.0,1778,32,78,2189,200.0,58
392,1,0,3.6,218,87,27,1951,800.0,8783
393,1,0,3.7,514,4,19,715,600.0,8783
394,1,1,4.0,866,32,27,1976,900.0,8783
395,1,0,3.2,96,49,78,1761,400.0,8783
396,1,0,3.5,80,1,78,2618,250.0,8783
397,1,0,4.0,73,4,0,285,300.0,5272
398,1,0,3.9,84,32,88,1699,400.0,8783
399,1,0,3.5,88,1,78,2477,350.0,8783
400,1,0,3.5,179,1,27,1856,600.0,8783
401,1,0,3.8,61,4,78,1529,100.0,8783
402,1,0,3.7,128,84,27,1869,450.0,8783
403,1,0,3.8,339,32,78,2474,400.0,1242
404,1,0,4.1,449,4,78,2537,100.0,8783
405,1,0,4.1,210,32,42,330,150.0,8783
406,1,0,3.7,57,4,78,1548,200.0,8783
407,1,0,3.0,213,1,78,2160,400.0,8783
408,1,0,3.2,208,32,17,2592,250.0,7126
409,1,0,3.8,70,1,78,2381,100.0,208
410,1,0,4.0,219,4,19,712,600.0,8783
411,1,0,3.7,59,1,78,2211,200.0,8783
412,1,0,3.1,10,1,78,1238,500.0,8783
413,1,0,3.0,9,49,78,1302,400.0,8783
414,1,0,3.7,124,49,27,480,750.0,8783
415,1,0,3.7,19,49,78,2381,100.0,177
416,1,0,3.700448817952717,0,32,92,1761,300.0,8783
417,1,0,3.3,4,4,78,1425,150.0,8783
418,1,0,3.3,4,49,40,1178,150.0,8783
419,1,0,3.8,21,4,40,1449,200.0,8783
420,1,0,3.4,8,1,79,2389,250.0,120
421,1,0,3.5,10,49,78,1951,400.0,8783
422,1,0,3.700448817952717,0,1,78,2091,400.0,8783
423,1,0,3.5,10,49,78,1761,400.0,6868
424,1,0,3.2,4,49,78,1721,200.0,8783
425,1,0,3.1,4,1,39,1761,350.0,4835
426,1,0,3.700448817952717,0,84,78,1722,300.0,8783
427,1,0,3.6,16,29,92,1416,500.0,8783
